Index,Region,abbrv,random,Name,PMID,Link,Title
1,Dorsal motor nucleus of the vagus nerve,DMX,1,,,,
2,Cuneate nucleus,CU,2,,,,
3,Gracile nucleus,GR,3,,,,
4,Nucleus of the solitary tract,NST,4,,,,
5,Medulla,MY,5,,,,
6,"Medullary reticular nucleus, ventral part",MDRNd,7,,,,
7,"Medullary reticular nucleus, dorsal part",MDRNv,13,,,,
8,Magnocellular reticular nucleus,MARN,8,,,,
9,Gigantocellular reticular nucleus,GRN,6,,,,
10,"Lateral reticular nucleus, magnocellular part",LRNm,12,,,,
11,"Paragigantocellular reticular nucleus, lateral part",PGRNl,10,,,,
12,Intermediate reticular nucleus,IRN,9,,,,
13,Parvicellular reticular nucleus,PARN,14,,,,
14,"Paragigantocellular reticular nucleus, dorsal part",PGRNd,17,,,,
15,Nucleus raphe magnus,RM,15,,,,
16,Nucleus raphe obscurus,RO,16,,,,
17,Facial motor nucleus,VII,11,,,,
18,Hypoglossal nucleus,XII,18,,,,
19,Nucleus of Roller,NR,19,,,,
20,Nucleus prepositus,PRP,20,,,,
21,"Spinal nucleus of the trigeminal, interpolar part",SPVI,24,,,,
22,"Spinal nucleus of the trigeminal, caudal part",SPVC,25,,,,
23,Spinal vestibular nucleus,SPIV,21,,,,
24,Medial vestibular nucleus,MV,22,,,,
25,Lateral vestibular nucleus,LAV,23,,,,
26,"Pontine reticular nucleus, caudal part",PRNc,27,,,,
27,Pontine reticular nucleus,PRNr,26,,,,
28,"Superior olivary complex, lateral part",SOCl,39,,,,
29,"Superior olivary complex, medial part",SOCm,40,,,,
30,"Superior olivary complex, periolivary region",POR,41,,,,
31,Peritrigeminal zone,P5,28,,,,
32,Supratrigeminal nucleus,SUT,38,,,,
33,Pontine central gray,PGC,29,,,,
34,Sublaterodorsal nucleus,SLD,30,,,,
35,Laterodorsal tegmental nucleus,LDT,31,,,,
36,Subceruleus nucleus,SLC,32,,,,
37,Barrington's nucleus,BA,33,,,,
38,Pons,P,34,,,,
39,Locus ceruleus,LC,35,,,,
40,Parabrachial nucleus,PB,36,,,,
41,Pedunculopontine nucleus,PPN,37,"Shik,1966; Lee, 2014; Goetz, 2016; Mori, 1978; Grillner, 2007",PMID: 6000625; PMID: 25033185; PMID: 27147647; PMID: 731291; PMID: 17916382,https://pubmed.ncbi.nlm.nih.gov/6000625/; https://pubmed.ncbi.nlm.nih.gov/25033185/; https://pubmed.ncbi.nlm.nih.gov/27147647/; https://pubmed.ncbi.nlm.nih.gov/731291/; https://pubmed.ncbi.nlm.nih.gov/17916382/,Control of walking and running by means of electric stimulation of the midbrain ; Identification of a brainstem circuit regulating visual cortical state in parallel with locomotion; On the Role of the Pedunculopontine Nucleus and Mesencephalic Reticular Formation in Locomotion in Nonhuman Primates; Controlled locomotion in the mesencephalic cat: distribution of facilitatory and inhibitory regions within pontine tegmentum; Neural bases of goal-directed locomotion in vertebrates--an overview
42,Fastigial nucleus,FN,42,,,,
43,Interposed nucleus,IP,43,,,,
44,Red nucleus,RN,44,,,,
45,Edinger-Westphal nucleus,EW,45,,,,
46,Interstitial nucleus of Cajal,INC,46,,,,
47,Nucleus of Darkschewitsch,ND,47,,,,
48,Midbrain,MB,48,,,,
49,Midbrain reticular nucleus,MRN,49,,,,
50,"Midbrain reticular nucleus, retrorubral area",RR,50,,,,
51,Periaqueductal gray,PAG,51,,,,
52,Paraventricular hypothalamic nucleus,PVH,52,,,,
53,"Paraventricular hypothalamic nucleus, descending division",PVHd,53,,,,
54,Dorsomedial nucleus of the hypothalamus,DMH,54,,,,
55,Hypothalamus,HY,55,,,,
56,Lateral hypothalamic area,LHA,56,,,,
57,Zona incerta,ZI,57,,,,
58,Anterior hypothalamic nucleus,AHN,58,,,,
59,"Periventricular hypothalamic nucleus, intermediate part",Pvi,59,,,,
60,Posterior hypothalamic nucleus,PH,60,,,,
61,Ventromedial hypothalamic nucleus,VMH,61,,,,
62,Perireunensis nucleus,PR,62,,,,
63,"Subparafascicular nucleus, magnocellular part",SPFm,63,,,,
64,Thalamus,TH,64,,,,
65,Ventral medial nucleus of the thalamus,VM,65,,,,
66,Nucleus of reuniens,RE,66,,,,
67,"Central amygdalar nucleus, medial part",CEAm,67,,,,
68,Substantia innominata,SI,68,,,,
,Structure name,,,,,,
